Block Size (bytes), File Size (bytes), # of Clients, # of Replicas, Average Throughput (MBps), STD (MBps), %
65536,65536,40,1,133.401406,3.17148525,0.08725
65536,65536,40,2,236.443164,3.36871775,0.059
65536,65536,40,3,317.753435,4.5960375,0.05825
65536,65536,40,4,416.843857,1.98861525,0.01925
65536,131072,40,1,304.231771,5.01675325,0.0685
65536,131072,40,2,399.740333,3.001361,0.03
65536,131072,40,3,309.422224,6.738208,0.08625
65536,131072,40,4,388.23453,3.76871875,0.03825
65536,196608,40,1,377.975274,1.63719275,0.01725
65536,196608,40,2,385.570883,6.3201635,0.06625
65536,196608,40,3,361.994782,7.99734425,0.08975
65536,196608,40,4,460.928233,1.18746925,0.01
65536,262144,40,1,445.947296,2.112291,0.019
65536,262144,40,2,440.060267,0.88132375,0.008
65536,262144,40,3,430.239076,2.37873075,0.022
65536,262144,40,4,433.366698,3.4157185,0.03175
