1024,1024,1,50: 13.52MB/s
1024,2048,1,50: 19.38MB/s
1024,4096,1,50: 23.86MB/s
1024,8192,1,50: 27.71MB/s
1024,16384,1,50: 27.33MB/s
1024,32768,1,50: 28.64MB/s
2048,2048,1,50: 27.68MB/s
2048,4096,1,50: 32.78MB/s
2048,8192,1,50: 46.91MB/s
2048,16384,1,50: 49.02MB/s
2048,32768,1,50: 47.68MB/s
2048,65536,1,50: 56.39MB/s
4096,4096,1,50: 42.64MB/s
4096,8192,1,50: 56.07MB/s
4096,16384,1,50: 69.81MB/s
4096,32768,1,50: 80.95MB/s
4096,65536,1,50: 87.69MB/s
4096,131072,1,50: 77.07MB/s
8192,8192,1,50: 73.66MB/s
8192,16384,1,50: 93.74MB/s
8192,32768,1,50: 118.19MB/s
8192,65536,1,50: 134.97MB/s
8192,131072,1,50: 133.10MB/s
8192,262144,1,50: 128.97MB/s
16384,16384,1,50: 127.43MB/s
16384,32768,1,50: 167.61MB/s
16384,65536,1,50: 151.39MB/s
16384,131072,1,50: 162.20MB/s
16384,262144,1,50: 166.99MB/s
16384,524288,1,50: 13.11MB/s
32768,32768,1,50: 177.36MB/s
32768,65536,1,50: 221.25MB/s
32768,131072,1,50: 16.19MB/s
32768,262144,1,50: 16.12MB/s
32768,524288,1,50: 13.11MB/s
32768,1048576,1,50: 26.21MB/s
65536,65536,1,50: 17.63MB/s
65536,131072,1,50: 9.37MB/s
65536,262144,1,50: 9.57MB/s
65536,524288,1,50: 13.37MB/s
65536,1048576,1,50: 26.21MB/s
